# DataPlane.org - for operators, by operators
# sipregistration
# 2021-03-14 06:00 - 2021-03-21 06:00
#
# The sipregistration report is free for non-commercial use ONLY.  If you wish
# to discuss commercial use of this service, please contact us at
# info@dataplane.org.  Redistribution of the sipregistration report in whole or
# in part without the express permission of DataPlane is expressly
# prohibited.
#
# This report is made possible through the generous support of people
# like you.  Sensor, processing, and distribution systems require
# non-free resources to setup and maintain.  We are always looking for
# financial contributions to help pay the bills and hosting to increase
# visibility.  If you find what we do useful, please consider supporting
# us.
#
# This report is informational.  It is not a block list, but some may
# choose to use it to actively protect their networks and systems.  The
# report is provided on an as-is basis with no expressed warranty or
# guarantee of accuracy.  Use of this data is at your own risk.  If you
# have questions about this report do not hesitate to contact us.
#
# Entries below are records of source IP addresses that have been
# identified as sending SIP INVITE operations.
# Each entry is sorted according to a route originating ASN.  An entry
# for the IP address is listed only once even if there are multiple
# origin AS (MOAS) announcements for the covering prefix.  We use the
# PyASN IP address to ASN mapping service to construct an origin AS
# number and name.  For details about PyASN, see:
#
#   <https://pypi.org/project/pyasn/>.
#
# The report format is as follows:
#
# ASN  |  ASname  |  ipaddr  |  lastseen  |  category
#
# Each field is described below.  Please note any special formatting
# rules to aid in processing this file with automated tools and scripts.
# Blank lines may be present to improve the visual display of this file.
# Lines beginning with a hash ('#') character are comment lines.  All
# other lines are report entries.  Each field is separated by a pipe
# symbol ('|') and at least two whitespace characters on either side.
#
#   ASN        Autonomous system number originating a route for the
#              entry IP address. Note, 4-byte ASNs are supported and
#              will be displayed as a 32-bit integer.  NA is shown if
#              an origin ASN cannot be found.
#
#   ASname     A descriptive network name for the associated ASN.  The
#              name is truncated to 30 characters.  NA is shown if an
#              AS name cannot be found.
#
#   ipaddr     The IPv4 address that is being reported.
#
#   lastseen   A last seen timestamp formatted as YYYY-mm-dd HH:MM:SS
#              in UTC time.
#
#   category   Descriptive tag name for this entry.  For this report,
#              the text sipregistration will appear.
#
# A commented footer section shows an aggregate count of ASNs and
# addresses seen in the current report.
#
174          |  COGENT-174                      |  45.56.174.188    |  2021-03-20 06:53:03  |  sipregistration
8075         |  MICROSOFT-CORP-MSN-AS-BLOCK     |  104.210.155.68   |  2021-03-17 15:36:09  |  sipregistration
8075         |  MICROSOFT-CORP-MSN-AS-BLOCK     |  13.77.149.138    |  2021-03-15 20:52:05  |  sipregistration
8075         |  MICROSOFT-CORP-MSN-AS-BLOCK     |  40.66.46.34      |  2021-03-17 01:01:57  |  sipregistration
8075         |  MICROSOFT-CORP-MSN-AS-BLOCK     |  40.86.209.136    |  2021-03-16 16:14:49  |  sipregistration
8075         |  MICROSOFT-CORP-MSN-AS-BLOCK     |  52.184.225.182   |  2021-03-18 14:42:00  |  sipregistration
8075         |  MICROSOFT-CORP-MSN-AS-BLOCK     |  52.235.45.105    |  2021-03-16 17:03:02  |  sipregistration
8551         |  BEZEQ-INTERNATIONAL-AS Bezeq I  |  84.110.53.152    |  2021-03-14 14:51:44  |  sipregistration
11042        |  NTHL                            |  173.213.87.105   |  2021-03-19 18:14:32  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  195.154.53.237   |  2021-03-21 05:46:43  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  212.83.140.147   |  2021-03-19 11:12:30  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  212.83.140.205   |  2021-03-19 13:10:03  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  212.83.141.89    |  2021-03-21 00:17:46  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  51.15.157.120    |  2021-03-21 05:59:30  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  51.159.93.160    |  2021-03-18 18:15:53  |  sipregistration
12876        |  AS12876 ONLINE S.A.S.           |  51.159.94.110    |  2021-03-17 17:24:13  |  sipregistration
12975        |  PALTEL-AS Palestine Telecommun  |  89.239.33.160    |  2021-03-20 14:40:31  |  sipregistration
12975        |  PALTEL-AS Palestine Telecommun  |  89.239.37.200    |  2021-03-17 03:07:45  |  sipregistration
16276        |  OVH OVH SAS                     |  135.125.116.90   |  2021-03-18 23:12:05  |  sipregistration
